13.36.34.465570,7402,13482,13799,12867,19502,8441,8787,10616,17334,11602,236,24179
13.36.34.503533,12384,13046,21762,10436,19515,13304,10548,23813,7772,11604,12809,24164
13.36.34.540356,17608,10618,4253,12409,19590,12982,23895,3362,11501,12952,12324,276
13.36.34.578601,9616,11393,13114,12255,19516,12506,175,4143,13064,13495,24182,3672
13.36.34.616299,9804,13349,14300,12920,19494,8896,9629,10536,17399,11837,235,24176
13.36.34.653519,12402,12964,20497,10305,19514,13320,10975,23832,7333,11721,13927,24172
13.36.34.691296,20631,10052,2149,12697,19598,13317,23900,1101,11265,12746,23565,265
13.36.34.732884,9525,13484,13460,13408,19483,7741,7815,12819,16016,12204,216,24180
13.36.34.768394,12401,12632,23926,11257,19521,12794,11670,24013,11469,10729,5931,24172
13.36.34.807036,17489,10284,2781,12717,19601,13259,23912,1846,12500,13012,12484,258
13.36.34.843453,17030,9523,9765,12525,19601,16727,17818,223,14405,12576,24167,260
13.36.34.880389,3659,13999,14081,12640,19479,10036,156,12642,12598,13612,16109,24185
13.36.34.917702,12108,12933,22513,11094,19506,13914,11980,23309,11895,11044,6704,24175
13.36.34.956252,13815,12194,9821,11225,19572,12976,24004,23994,5909,13081,13314,256
13.36.34.994007,15209,9683,11473,12515,19583,17171,13264,209,14418,12501,24166,239
13.36.35.030904,3311,14067,14017,12740,19484,9456,144,13497,12805,13092,1365,24188
13.36.35.068214,12199,12777,20672,11871,19544,12184,12961,20661,12841,11136,6904,24172
13.36.35.105786,12507,12027,6504,11945,19584,12623,23981,14302,8158,13135,13072,261
13.36.35.143879,15775,9520,10008,12601,19584,17737,14131,210,14878,12573,23995,256
13.36.35.180433,3417,13916,13797,13207,19479,7925,537,14211,13324,12663,360,24184
13.36.35.218948,12486,12587,23665,10609,19493,13176,10432,23916,8882,11660,11753,24167
13.36.35.257535,19771,8773,3899,12699,19578,16814,22226,238,14993,12421,23711,263
13.36.35.296809,3208,13613,13783,12298,19479,12324,173,6132,12740,13387,14708,24082
13.36.35.334409,11790,12775,21517,11513,19497,12652,12867,20031,12661,10879,4628,24179
13.36.35.372482,12496,12765,10015,11155,19538,12879,23673,23643,5020,12356,14563,24162
13.36.35.407716,20964,10366,2243,12561,19550,12956,23938,23622,7025,12692,13855,264
13.36.35.443407,18403,9217,9074,12487,19570,16203,1399,231,14410,12702,24164,247
13.36.35.481796,4757,13549,13351,13541,19470,6532,7451,15963,17886,12142,226,24179
13.36.35.520680,12155,11835,20888,10305,19500,12681,10782,23850,8172,11161,12225,24171
13.36.35.556790,15619,11775,5926,12219,19579,13173,23987,22065,6212,12826,13823,262
13.36.35.594394,14345,10462,11174,12420,19593,16825,2753,216,14495,12678,24161,263
13.36.35.629894,4891,13905,14154,12353,19496,11789,160,7865,13072,12895,24003,20738
13.36.35.666502,10139,13350,14193,13234,19505,8087,10705,11438,17939,12116,215,24183
13.36.35.702831,12282,12558,23893,10751,19504,12687,11286,24056,10329,11335,12831,21815
13.36.35.740343,16911,10902,4265,11896,19579,12496,24003,21631,5612,12751,14460,14862
13.36.35.776324,18348,9353,8910,12600,19597,17331,4629,197,14199,12657,24169,1128
13.36.35.814833,4338,13591,13542,13557,19494,6736,5844,14366,13676,12670,221,24179
13.36.35.853329,12547,12931,22077,10678,19508,13120,11084,24037,9643,11368,13149,24164
13.36.35.890545,17161,10379,5035,12664,19576,13170,23977,6582,10160,13106,12140,265
13.36.35.928038,13030,10875,12666,12503,19575,15917,1272,291,13980,12732,24176,230
13.36.35.966006,8608,13376,13457,13488,19476,7306,6474,13192,13685,12832,6962,24182
13.36.36.001590,12182,12613,20461,11883,19517,12664,12690,20206,13464,10868,7388,24172
13.36.36.039776,14748,10450,6071,12476,19573,12915,23954,15260,9481,12836,12226,267
13.36.36.078539,11052,10841,12528,12487,19502,12531,170,192,13201,13181,20492,15312
13.36.36.117435,11467,12851,20637,11655,19484,12578,12927,5771,15219,11372,575,24182
13.36.36.155130,11805,14007,17909,10034,19470,13118,19949,23691,6142,11385,12868,24168
13.36.36.190813,19592,9863,2117,12759,19559,14124,23863,23685,13463,12849,17624,270
13.36.36.229509,5735,12522,13132,12267,19527,13864,166,214,13213,13091,23717,7233
13.36.36.266612,9813,13415,14061,13273,19457,9699,10604,214,17370,11281,240,24182
13.36.36.304744,12037,14182,19431,10126,19472,13245,12624,23615,6713,11422,13631,24190
13.36.36.341760,22192,9500,2091,12705,19539,16444,23903,228,14743,12262,22102,273
13.36.36.379608,6397,12647,11311,12303,19535,14838,217,213,14070,12613,24174,8847
